token,part1,part2,mean,var,harmmean,iscorrect
بودوك,بود,وك,68575,68562,25,0
بولونياچگونه,بولونيا,چگونه,9041,8913,254,1
بيكوكا,بي,كوكا,35769,35715,107,0
بيلگ,بي,لگ,35745,35739,11,0
بينيدبنويسيد,بينيد,بنويسيد,1875,1183,1128,1
تااو,تا,او,31185,31179,11,1
تابحرفه,تاب,حرفه,7138,5455,2969,1
تابدينگونه,تا,بدينگونه,89,83,11,1
تادييه,تادي,يه,438,434,7,0
تايلنداست,تايلند,است,1311,1310,1,1
تدبيرقوي,تدبير,قوي,6224,3968,3694,1
ترينهايشان,تر,ينهايشان,24792,24792,0,0
تسكوتله,تسكو,تله,459,454,9,0
تصورنتايج,تصور,نتايج,15650,3179,15004,1
تغييرنحوه,تغيير,نحوه,26296,8848,23318,1
تفار,ت,فار,1116,1094,43,0
تفكرديالكتيكي,تفكر,ديالكتيكي,4202,4024,348,1
تناسبماشيني,تناسب,ماشيني,2066,762,1784,1
تواليري,توالي,ري,1401,1011,671,0
توانتسم,توانت,سم,566,564,3,0
توجان,توج,ان,90822,90820,3,0
توليدخردمندانه,توليد,خردمندانه,19694,19206,963,1
توليدكفش,توليد,كفش,20346,18553,3427,1
تيراژتوليد,تيراژ,توليد,20058,18841,2360,1
جديدگرفته,جديد,گرفته,66433,9279,65137,1
جذبپنج,جذب,پنج,21581,7648,18870,1
جرمشناسا,جرم,شناسا,3382,3325,113,1
جلوبردارد,جلوبر,دارد,66177,66177,0,1
جنوبهندبا,جنوب,هندبا,7500,7497,5,1
جهارساها,جهار,ساها,45,44,1,0
حفظخونسردي,حفظ,خونسردي,14810,14236,1125,1
خبرنامفهوم,خبر,نامفهوم,21783,21493,576,1
خطرسيده,خط,رسيده,25358,6230,23827,1
خواهدبگويد,خواهد,بگويد,61200,57235,7673,1
خودمختاركافي,خودمختار,كافي,10699,10297,788,1
خودمطمئن,خود,مطمئن,91869,84831,13536,1
داتودي,دات,ودي,71,48,38,0
دارداز,دارد,از,216162,83807,183669,1
داردمحمدحسين,دارد,محمدحسين,67142,65212,3804,1
داغدارسلطاني,داغدار,سلطاني,717,474,403,1
داودنژاد,داود,نژاد,5569,3444,3439,1
دتلر,دت,لر,99,73,45,0
دحا,د,حا,1186,1185,1,0
درشركتها,در,شركتها,1000,998,3,1
درقالبهاي,درقا,لبهاي,47,47,0,0
درمفاهيم,در,مفاهيم,2462,2460,3,1
درهربار,در,هربار,219,217,3,1
درودر,د,رودر,1228,1143,164,0
درپانزدهمين,در,پانزدهمين,287,285,3,1
درپزشكي,در,پزشكي,7770,7768,3,1
دشوارفهم,دشوار,فهم,5367,1560,4913,1
دلاردريافت,دلار,دريافت,27490,4124,26871,1
دلسپردن,دل,سپردن,6682,5271,2524,1
دلشني,دل,شني,6111,5843,524,1
دنياتلويزيونها,دنيا,تلويزيونها,12176,12104,143,1
دولماي,دولم,اي,82224,82224,0,0
دولويمنت,دولو,يمنت,21,21,0,0
دوگوله,دو,گوله,59017,58995,43,0
ديروزتهران,ديروز,تهران,69195,20602,63061,1
ديستال,ديست,ال,3099,3099,0,0
ديگرمتكلماني,ديگر,متكلماني,59948,59939,17,1
راباش,راب,اش,15708,15614,187,0
رادوكو,رادو,كو,228,203,47,0
راشكستند,را,شكستند,159,153,11,1
راضعيف,را,ضعيف,3836,3830,11,1
راعرصه,را,عرصه,3,2,1,1
رامنفي,را,منفي,5846,5840,11,1
رسندلذا,رسند,لذا,8247,4555,5731,1
رنواد,رنو,اد,324,155,249,0
روزچهره,روز,چهره,53046,53044,3,1
رگفته,رگ,فته,471,416,103,0
زاندوه,ز,اندوه,1324,62,1321,1
زانودرد,زانو,درد,3660,2616,1790,1
زرگرگفت,زرگر,گفت,72951,72667,566,1
زلهيب,ز,لهيب,709,676,64,1
سالواتو,سالو,اتو,137,127,19,0
سامويل,سام,ويل,513,124,483,0
ستمكارانه,ستم,كارانه,888,320,772,1
سرخرگچه,سرخرگ,چه,29009,28937,143,1
سرصاحب,سر,صاحب,27686,14373,20224,1
سرطبابت,سر,طبابت,21123,20936,372,1
سعيدحسيني,سعيد,حسيني,6300,368,6278,1
سلحشورشهرها,سلحشور,شهرها,4133,3885,481,1
سلنتز,سلن,تز,186,181,9,0
سوهارتونوشت,سوهارتو,نوشت,5494,5274,431,1
سويند,سوي,ند,36697,36360,670,0
سياليتي,سيال,يتي,295,293,3,0
سيروتيك,سيرو,تيك,222,45,213,0
سيلست,سي,لست,8556,8542,27,0
سيگارهويت,سيگار,هويت,5428,2825,3957,1
شركتاسمان,شركت,اسمان,41187,35356,10836,1
شكاردزدان,شكار,دزدان,1222,765,743,1
شماردختران,شمار,دختران,12653,8228,7302,1
شمايك,شما,يك,105713,80360,44625,0
شهابگونه,شهاب,گونه,20835,19645,2312,1
شهردارعجبشير,شهردار,عجبشير,4156,4140,31,1
شهيدحجت,شهيد,حجت,10888,2820,10157,1
شوشو,شوش,و,156128,155452,1349,1
شوفاژكاري,شوفاژ,كاري,13921,13810,221,1
صدمن,صد,من,23539,16526,11936,1
صرفاپروژه,صرفا,پروژه,10841,1899,10508,1
ضدمسيح,ضد,مسيح,5127,3516,2715,1
طبعاقبض,طبعا,قبض,1510,808,1077,1
عروسكدوزي,عروسك,دوزي,566,274,433,1
عمرانسازه,عمران,سازه,2713,1079,2283,1
عناصراشاره,عناصر,اشاره,34729,29177,10216,1
عيونك,عيون,ك,637,604,64,0
غريبنامه,غريب,نامه,14966,12481,4557,1
غيراوج,غير,اوج,16405,9038,11425,1
فابيوموسي,فابيو,موسي,1203,1027,326,1
فالظاهر,فال,ظاهر,5290,4471,1511,1
فرايندجاري,فرايند,جاري,23473,15265,13545,1
فرستادو,فرستاد,و,156803,154777,4025,1
فرهاداذرين,فرهاد,اذرين,1500,1452,94,1
فروباراند,فروبا,راند,534,534,0,0
فريدهلم,فريده,لم,416,11,416,0
فرگليز,فر,گليز,1505,1503,3,0
فصاي,فص,اي,82228,82220,15,0
فيبگر,في,بگر,1467,1466,1,0
قارانقوش,قارا,نقوش,232,219,25,1
قاصدخواني,قاصد,خواني,1068,1019,95,1
قانونگراست,قانونگرا,ست,1661,1637,47,1
قرارمجرميت,قرار,مجرميت,65928,65615,624,1
قلبتاريك,قلب,تاريك,3992,1774,3203,1
كاذر,ك,اذر,2987,1746,1966,0
كاربردعمومي,كاربرد,عمومي,29354,24396,9078,1
كارغلطي,كار,غلطي,48583,47989,1180,1
كاركيفي,كار,كيفي,50933,45639,10037,1
كاليسف,كال,يسف,48,48,0,0
كالچ,كا,لچ,3,2,1,0
