شوراهائي,شوراها,ئي,1789,1625,312,0
شومپف,شوم,پف,2659,2575,165,0
شيائو,شي,ائو,259,256,5,0
ضدسروصدا,ضد,سروصدا,4637,4006,1176,0
ضدطبيعتم,ضد,طبيعتم,4325,4317,15,0
ضدفئودالي,ضد,فئودالي,4386,4256,256,0
طربافزا,طرب,افزا,91,8,90,0
ظاهرانه,ظاهرا,نه,27315,19408,13525,0
ظرفهاست,ظرف,هاست,9650,775,9588,0
عبدالساده,عبدال,ساده,6781,6778,5,0
عربديگر,عرب,ديگر,62960,56928,11486,0
غراترين,غرا,ترين,24087,24086,1,0
غيرجادوگرها,غير,جادوگرها,12730,12713,33,0
غيركانوني,غير,كانوني,12886,12556,651,0
غيرمتواتر,غير,متواتر,12751,12691,119,0
فتوسنتر,فتو,سنتر,60,33,41,0
فراكسيو,فراك,سيو,12,10,3,0
فردريچ,فردر,يچ,4,1,3,0
فرزندشما,فرزند,شما,16018,9334,10578,0
فوكراف,فوكر,اف,1655,1584,138,0
فوكونيز,فوكو,نيز,77638,77367,541,0
فيسيت,فيس,يت,37,15,30,0
قالار,قال,ار,609,342,417,0
قراردادتضميني,قرارداد,تضميني,6253,4809,2554,0
كارسانگ,كار,سانگ,48336,48236,199,0
كاركردمطبوعات,كاركرد,مطبوعات,7956,4239,5697,0
كارمحاسبه,كار,محاسبه,50651,45922,9016,0
كاستاكيس,كاست,اكيس,793,786,13,0
كامپيوتراست,كامپيوتر,است,1861,1860,1,0
كاپاديا,كاپا,ديا,13,6,10,0
كتابخطاب,كتاب,خطاب,14063,8489,8938,0
كثيراز,كثير,از,150097,149872,449,0
كرنيلو,كرني,لو,455,444,21,0
كشميرداشتند,كشمير,داشتند,12120,11379,1436,0
كشورمستقر,كشور,مستقر,72906,66304,12606,0
كندپرچم,كند,پرچم,74859,72930,3808,0
كنندصبحانه,كنند,صبحانه,63535,62851,1360,0
كورپورا,كور,پورا,736,711,49,0
كوچهخياباني,كوچه,خياباني,4051,1465,3521,0
كيسو,كيس,و,155836,155744,183,0
لاتيشيا,لاتي,شيا,10,9,1,0
لاينسكي,لاين,سكي,271,265,11,0
لذكره,ل,ذكره,367,360,13,0
لنس,ل,نس,378,348,57,0
لنو,لن,و,155838,155742,191,0
لياموير,ليام,وير,41,6,40,0
ليورمورمتعلق,ليورمور,متعلق,4570,4551,37,0
ماجرارو,ماجرا,رو,2677,2676,1,0
مارسبيو,مارس,بيو,1521,1431,174,0
مامكوم,مام,كوم,100,59,65,0
مانندنفت,مانند,نفت,25234,6659,23476,0
مبدافاصله,مبدا,فاصله,141,140,1,0
متمايزكردن,متمايز,كردن,30053,28108,3764,0
مجسوس,مجس,وس,28,28,0,0
محوتدريجي,محو,تدريجي,2388,548,2262,0
مخاطباين,مخاطب,اين,149755,145123,9120,0
مدتهاحكومت,مدتها,حكومت,7273,5226,3517,0
مرابراي,مرا,براي,111502,111495,13,0
مرمتكاران,مرمت,كاران,1931,129,1922,0
مسكوشوند,مسكو,شوند,35315,30842,8379,0
مشيانه,مشيا,نه,23362,23361,1,0
معيارمتناسب,معيار,متناسب,4753,2366,3575,0
ملابراري,مل,ابراري,86,76,18,0
ملاعبدالرزاق,ملا,عبدالرزاق,145,19,142,0
ملتوس,ملت,وس,8004,7947,113,0
منشابسياري,منشا,بسياري,25007,23840,2279,0
منظورپيشنهاد,منظور,پيشنهاد,27784,7738,25628,0
منما,من,ما,20041,20024,33,0
موثرباشند,موثر,باشند,28800,17486,18183,0
مولنكس,مولن,كس,5610,5565,89,0
مونتاژكارند,مونتاژ,كارند,692,182,644,0
ميربهائي,مير,بهائي,1231,1205,51,0
ميرزامحمدباقر,ميرزا,محمدباقر,1331,173,1308,0
ميرشريف,مير,شريف,3445,1009,3149,0
ناراسيمان,نارا,سيمان,2113,2051,122,0
ناشكيبايي,نا,شكيبايي,746,57,742,0
ناصراماني,ناصر,اماني,2146,1685,822,0
نامزدجمعيت,نامزد,جمعيت,10928,7084,6335,0
ناييجي,نايي,جي,1263,1239,47,0
نجاتبخش,نجات,بخش,37904,29573,14830,0
نداليسم,ند,اليسم,225,112,169,0
نزدحكام,نزد,حكام,4135,2776,2271,0
نشرصالح,نشر,صالح,4405,1806,3664,0
نصبنيروگاه,نصب,نيروگاه,5465,3094,3713,0
نصيبك,نصيب,ك,2243,1002,1795,0
نظررسمي,نظر,رسمي,55036,35393,32275,0
نفركانديدا,نفر,كانديدا,23975,23161,1600,0
نوادي,نو,ادي,5303,5180,243,0
نواوريهاو,نواوريها,و,155833,155747,171,0
نوربازتاب,نور,بازتاب,5194,1845,4538,0
نولو,نول,و,155799,155781,35,0
نيكفرجام,نيك,فرجام,2057,1257,1288,0
نيكوداري,نيكو,داري,3761,3001,1366,0
نيكومرام,نيكو,مرام,554,205,478,0
نگرشهاوجود,نگرشها,وجود,44672,44400,542,0
نگنجانم,ن,گنجانم,1058,1055,5,0
هابرگردد,هابر,گردد,11643,11598,89,0
هازياده,ها,زياده,530,528,3,0
هاكمن,هاك,من,20050,20015,69,0
هايدگرمفهوم,هايدگر,مفهوم,4427,4104,622,0
هتفيلدي,هت,فيلدي,30,29,1,0
هراسانيم,هراس,انيم,1027,833,351,0
هربر,هر,بر,55205,55204,1,0
هرساله,هر,ساله,70925,39484,48944,0
هرماهه,هر,ماهه,58583,51825,12736,0
هرمتيكا,هرم,تيكا,423,417,11,0
هلمولهايم,هل,مولهايم,233,223,19,0
همسرانه,هم,سرانه,57917,54133,7320,0
همگرائي,هم,گرائي,56075,55976,197,0
هنوزپاسخ,هنوز,پاسخ,36967,6066,35971,0
هوشيارايران,هوشيار,ايران,54827,53607,2412,0
هيكاري,هي,كاري,14187,13543,1258,0
واردشود,وارد,شود,119975,74588,73603,0
واس,و,اس,156976,154603,4710,0
والاستي,والا,ستي,600,574,50,0
والصلوه,وال,صلوه,357,340,33,0
وبطور,و,بطور,158353,153226,10088,0
وتخصيص,و,تخصيص,158141,153438,9266,0
وجان,و,جان,165249,146330,35672,0
وجودبرخورداري,وجود,برخورداري,46792,42280,8588,0
ورزشكارهر,ورزشكار,هر,56039,54370,3288,0
ورودارباب,ورود,ارباب,11463,10080,2599,0
ورودقطار,ورود,قطار,12015,9528,4459,0
وروسري,و,روسري,156021,155558,924,0
وسرشناس,و,سرشناس,156810,154769,4055,0
وسيميچ,وسيم,يچ,5,2,4,0
وشايعاتي,و,شايعاتي,156088,155492,1189,0
وشنوك,و,شنوك,155797,155783,27,0
وعهده,و,عهده,165643,145937,37067,0
وغربيها,و,غربيها,155872,155707,329,0
وغيرمترقبه,و,غيرمترقبه,156377,155203,2339,0
وفرزندش,و,فرزندش,156524,155056,2922,0
وكيد,و,كيد,155844,155735,217,0
ومغولستان,و,مغولستان,155998,155582,830,0
ونصارا,و,نصارا,155798,155782,31,0
ونماد,و,نماد,157237,154342,5736,0
وورزشي,و,ورزشي,169519,142061,50468,0
وچهارماهه,و,چهارماهه,155842,155738,207,0
يادمانهاست,يادمان,هاست,5834,4591,2221,0
يضار,ي,ضار,2658,2657,1,0
