a|يك(n;0.5)
admission|پذيرش(n;0.75),وروديه(n;0.5),اعتراف(n;0.5),قبول(n;0.5),تصديق(n;0.25),دخول(n;0.25),درامد(n;0.25),اجازه ورود(n;0.25),بارداد(n;0.25)
admit|پذيرفتن(v;0.5),دادن(v;0.5),راه دادن(v;0.25),بار دادن(v;0.25),راضي شدن(v;0.25),رضايت دادن(v;0.25),تصديق كردن(v;0.25),زير بار رفتن(v;0.25),اقرار كردن(v;0.25),واگذار كردن(v;0.25),اعطا كردن(v;0.25)
admittedly|مسلما(n;0.75)
adolescent|نوجو(n;0.75),جوان(j;0.5),بالغ(j;0.5),رشيد(j;0.25)
adolfo|ادولفو(n;0.75)
adopt|اتخاذ(n;0.75)
adoption|اتخاذ(n;0.75),اختيار(n;0.5),اقتباس(n;0.5),قبول(n;0.5),قبول به فرزندي(n;0.25),فرزند خوا نده(n;0.25)
adult|بالغ(j;0.75),بزرگ(j;0.5),كبير(j;0.25),به حد رشد رسيدن(j;0.25),با وقار(j;0.25),بزرگسال(n;0.75)
advance|پيشرفت(n;0.75),جلو بردن(n;0.25),مساعده(n;0.25),پيش قسط(n;0.25),سبقت(n;0.25),پيش رو(n;0.25),پيش پرداختن(n;0.25),ربون(n;0.25),پيش بردن(v;0.5),جلو رفتن(v;0.25),جلو بردن(v;0.25),ترقي دادن(v;0.25)
advanced|پيشرفتن(j;0.75),قبلا تهيه شدن(j;0.25),قبلا تجهيز شدن(j;0.25),ترقي كردن(j;0.25),پيش افتادن(j;0.25),جلوافتادن(j;0.25),مترقي(j;0.25)
advancement|پيشرفت(n;0.75),ترقي(n;0.5),ترفيع(n;0.25),ترويج(n;0.25)
advantage|مزيت(n;0.75),برتري(n;0.5),صرفه(n;0.25),تفوق(n;0.25),سود(n;0.5),منفعت(n;0.5),فايدن(n;0.5),هتردن(n;0.25),حسن(n;0.25),سبقت(n;0.25),مزيت دادن(v;0.25),سودمند بودن(v;0.25),فيضالهيبخشيدن(v;0.25)
advantageous|سودمند(j;0.75),مفيد(j;0.5),نافع(j;0.25),با صرفه(j;0.5),خوش ايند(j;0.25)
adventurous|پرماجرا(j;0.75),حادثه جو(j;0.5),پرحادثه(j;0.5),بي پروا(j;0.5),دلير(j;0.5)
adversary|دشمن(n;0.75),عدو(n;0.5),ضد(n;0.25),مخالف(n;0.5),رقيب(n;0.5),مبارز(n;0.5),حريف(n;0.5),مدعي(n;0.5),خصم(n;0.5),هم اورد(n;0.5),متخاصم(j;0.5),مبارز(j;0.5),ضد(j;0.25)
adverse|مضر(j;0.5),مخالف(j;0.5),مغاير(j;0.25),روبرو(j;0.25),نا سازگار(j;0.25)
advertisement|اعل(n;0.5),اگهي(n;0.25),خبر(n;0.25),اگاهي(n;0.25)
advertiser|تبليغ(n;0.75)
advertising|تبليغات(n;0.75)
advice|اطلاع(n;0.5),اگاهي(n;0.25),خبر(n;0.25),مشورت(n;0.5),اندرز(n;0.5),رايزني(n;0.5),نصيحت(n;0.5),نظر(n;0.5),پند(n;0.5),صوابدن(n;0.25),مصلحت(n;0.25)
advise|توصيه(n;0.75)
advisory|مشورتي(j;0.75)
advocate|مدافع(n;0.75),حامي(n;0.75),طرفدار(n;0.75),وكيل مدافع(n;0.5),دفاع كردن(v;0.25),طرفداري كردن(v;0.25)
aerosol|ائروسل(n;0.75)
aesthetic|زيبا(n;0.75)
affect|اثر(n;0.5),اثر كردن بر(v;0.25),تغيير دادن(v;0.25),متاثر كردن(v;0.25),وانمود كردن(v;0.25),دوست داشتن(v;0.25),تمايل داشتن(v;0.25),تظاهر كردن به(v;0.25)
affirmation|تاكيد(n;0.75),اثبه(n;0.75),تصديق(n;0.5),تصريح(n;0.5),اظهار قطعي(n;0.5)
affirmative|مثبت(j;0.75),تصديق اميز(j;0.5),اظهار مثبت(j;0.5),عبارت مثبت(n;0.5)
afford|استطاعت(n;0.75)
afghani|افغاني(n;0.75)
africa|افريقا(n;0.75)
african|افريقا(j;0.5)
after|پس از(d;0.75),بعد از(d;0.75),در عقب(d;0.25),تقلدن(d;0.25),ادبودن(d;0.25),عقب(d;0.25),پشت سر(n;0.25),در پي(n;0.25),در جستجو(n;0.25),در صدد(n;0.25),مابعد(n;0.25)
afternoon|بعد از ظهر(j;0.75),عصر(n;0.75)
again|دوباره(d;0.75),باز هم(d;0.75),باز(d;0.75),ديگر(d;0.75),مجددا(d;0.75),پس(d;0.5),نيز(d;0.5),يكبار ديگر(d;0.5),بعلاوه(d;0.5),دگربار(d;0.25),از طرف ديگر(d;0.25),از نو(d;0.25),مكرر(d;0.25)
against|عليه(n;0.75),در برابر(n;0.75),در مقابل(n;0.75),ضد(n;0.75),با(n;0.5),بر(n;0.5),مخالف(n;0.5),به(n;0.5),برعليه(n;0.5),برضد(n;0.5),مجاور(n;0.25),بسو(n;0.25)
agassi|اقاسي(n;0.75)
age|سن(n;0.75),عصر(n;0.75),دوره(n;0.25),عمر(n;0.5),پيري(n;0.25),سن بلوغ(n;0.25),عهد(n;0.25),پيرنماكردن(v;0.25),كهنه شدن(v;0.25),سالخوردهشدن(v;0.25),پير شدن(v;0.25)
ageing|سالخوردن(j;0.75),كهن(j;0.25)
agency|نماينده(n;0.75),وكالت(n;0.25),گماشته(n;0.25),ماموريت(n;0.25),وساطت(n;0.25),پيشكاري(n;0.25),دفتر نماينده(n;0.25),خبر گزاري(n;0.25)
agent|عامل(n;0.75),نماينده(n;0.75),مامور(n;0.5),پيشكار(n;0.25),گماشتن(n;0.25),وكيل(n;0.25)
aggression|تجاوز(n;0.75)
aggressive|مهاجم(j;0.75),پرخاشگر(j;0.5),متجاوز(j;0.5),پرتكاپو(j;0.25),پر پشتكار(j;0.25),سلطهجو(j;0.25)
agitator|اشوبگر(n;0.5),اتش زا(n;0.5),اسباب بهم زدن مايعه(n;0.5),اتش افروز(n;0.5)
ago|پيش(d;0.75),قبل(d;0.75),گذشتن(d;0.5)
agonise|تقلا كردن(v;0.75),به خود پيچيدن(v;0.75)
agree|موافق(n;0.75)
agreement|توافق(n;0.75),سازش(n;0.25),قرارداد(n;0.75),موافقت(n;0.5),پيمان(n;0.5),معاهده(n;0.5),عهد(n;0.25),عهد نامه(n;0.25),قرار(n;0.5),قبول(n;0.25),مطابقه نحو(n;0.25),معاهده و مقاطعه(n;0.25),شرط(n;0.25),عقد(n;0.25)
agricultural|كشاورزي(j;0.75),زراعتي(j;0.5),فلاحتي(j;0.25)
agriculture|كشاورزي(n;0.75),زراعت(n;0.75),فلاحت(n;0.25),برزگري(n;0.25)
ai|هوش مصنوعي(n;0.75)
aid|كمك(n;0.75),مساعدت(n;0.5),ياري(n;0.5),ياور(n;0.25),حمايت(n;0.5),مدد كار(n;0.25),معونت(n;0.25),هم دست(n;0.25),كمك كردن(v;0.25),ياري كردن(v;0.25),مساعدت كردن(v;0.25),پشتيباني كردن(v;0.25),حمايت كردن(v;0.25)
aim|هدف(n;0.75),مرام(n;0.25),منظور(n;0.5),مقصود(n;0.25),حدس(n;0.25),گمان(n;0.25),جهت(n;0.25),مراد(n;0.25),راهنما(n;0.25),رهبري(n;0.25),نشان(n;0.25),مقصد(n;0.25)
aiming|هدف(n;0.75)
air|هوا(n;0.75),باد(n;0.5),هر چيز شبيه هوا(n;0.25),سيدن(n;0.25),جريان هوا(n;0.25),نفس(n;0.25),شهيق(n;0.25),استنشاق(n;0.25),نما(n;0.25),سيما(n;0.25),اوازه(n;0.25),اواز(n;0.25),اهنگ(n;0.25),فضا(n;0.25),بادخور كردن(v;0.25),اشكار كردن(v;0.25)
aircraft|هواپيما(n;0.75),طياره(n;0.25)
airport|فرودگاه(n;0.75),فرودگاه هواپيما(n;0.25)
alan|الن(n;0.75)
alarm|هشدار(n;0.75),هراس(n;0.25),اخطار(n;0.5),اعلام خطر(n;0.5),اژير(n;0.5),اعلان خطر(n;0.25),اگاهي از خطر(n;0.25),شيپور حاضرباش(n;0.25),اشوب(n;0.25),بيم و وحشت(n;0.25),ساعت زنه(n;0.25),از خطر اگاهانيدن(v;0.25),هراس كردن(v;0.25),مضطرب كردن(v;0.25),اشوبناك كردن(v;0.25)
alcohol|الكل(n;0.75),هر نوع مشروبه الكلي(n;0.25)
alcoholic|الكلي(j;0.75),دارا الكل(j;0.25),معتاد بنوشيدن الكل(n;0.25)
alcoholism|اعتياد به نوشيدن الكل(n;0.5),ميخواره(n;0.5),تاثير الكل در مزاج(n;0.5)
ale|ابجو(n;0.5),ابجو ايل(n;0.5),ابجو انگليسي(n;0.5)
alertness|هوشياري(n;0.75)
alex|الكس(n;0.75)
algeria|الجزاير(n;0.75)
algerian|الجزاير(n;0.75)
alibi|بهانه(n;0.75),جا ديگر(n;0.75),غيبت هنگام وقوع جرم(n;0.5),بهانه اوردن(v;0.5)
align|رديف كردن(v;0.5),هم تراز كردن(v;0.25),در يك رديف قرار گرفتن(v;0.25),بصف كردن(v;0.25),در صف امدن(v;0.25)
alike|يكس(j;0.75),مشابه(j;0.5),مانند(j;0.5),شبيه(j;0.5),همانند(j;0.5),مطابق(j;0.25),مانندهم(j;0.25),يكجور(j;0.25),مساو(j;0.25),متشابه(j;0.25),عينا مساو و مرتبط با يكديگر(j;0.25),بتساو(d;0.25)
alive|زدن(j;0.75),در قيد حيه(j;0.5),روشن(j;0.25),سرزدن(j;0.25),حساس(j;0.25)
all|تمام(j;0.75),همه(j;0.75),هر گونه(j;0.25),همه چيز(j;0.25),بسيار(j;0.25),كليه(n;0.5),جميع(n;0.25),همه(d;0.5),يكسره(d;0.25),تماما(d;0.25),داروندار(d;0.25)
allan|الن(n;0.75)
allegation|ادعا(n;0.75),اظهار(n;0.5),بهانه(n;0.5),تاييد(n;0.5),مدعي(n;0.5)
allege|اقامه كردن(v;0.5),دليل اوردن(v;0.5),اراهي دادن(v;0.25)
alleged|اتهام(n;0.75)
allegiance|وفاداري(n;0.75),بيعت(n;0.75),تابعيت(n;0.5),تبعيت(n;0.5),سرسپرده(n;0.5)
allen|الن(n;0.75)
alliance|اتحاد(n;0.75),پيوسته(n;0.5),وصلت(n;0.25),پيمان بين دول(n;0.25),معاهده(n;0.25)
allocate|اختصاص دادن(v;0.5),تخصيص دادن(v;0.25)
allocation|تخصيص(n;0.75)
allow|اجازه دادن(v;0.5),رخصت دادن(v;0.25),پسنديدن(v;0.25),تصويب كردن(v;0.25),روا دانستن(v;0.25),پذيرفتن(v;0.25),اعطا كردن(v;0.25),ترخيص كردن(v;0.25)
allowance|مستمري(n;0.5),مدد معاش(n;0.5),خرجي(n;0.25),فوقالعادن و هزينه سفر(n;0.25),فوقالعادن دادن(v;0.25)
ally|دوست(n;0.5),پيوستن(v;0.25),متحد كردن(v;0.25)
almost|تقريبا(d;0.75),قريبا(d;0.25),بطور نزديك(d;0.25)
alone|تن(j;0.75),يكتا(j;0.25),فقط(d;0.5),صرفا(d;0.25),يكتنه(d;0.25)
along|همراه(n;0.75),طول(n;0.75),در امتداد خط(n;0.25),جلو(d;0.25),پيش(d;0.25),موازي با طول(d;0.25)
alongside|در كنار(d;0.75),تا كنار(d;0.25),پهلو به پهلو(d;0.25),در پهلو(n;0.25)
alpha|الفا(n;0.75)
already|قبلا(d;0.75),پيش از اين(d;0.5)
also|همچنين(d;0.75),نيز(d;0.75),همينطور(d;0.5),گذشتن از اين(d;0.25),و همچنين(d;0.5),بعلاوه(d;0.5),و نيز(d;0.25)
altar|محراب(n;0.75),قربانگاه(n;0.75),مذبح(n;0.5)
alteration|تغيير(n;0.75),دگرگوني(n;0.5),تبديل(n;0.5),دگرش(n;0.25)
alternative|ديگر(j;0.5),متناوب(j;0.5),تناوبي(j;0.25),متبادل(j;0.25),نوبتي(j;0.25),نوب(j;0.25),چاره(n;0.5),شق(n;0.25),شق ديگر(n;0.25),پيشنهاد متناوب(n;0.25)
alternatively|متناوبا(d;0.75),بنوبت(d;0.5)
although|اگر چه(n;0.75),هر چند(n;0.75),گرچه(n;0.75),بااينكه(n;0.25)
altruism|نوع دوستن(n;0.75),نوع پرسيدن(n;0.5),بشر دوستن(n;0.5),غيرپرستن(n;0.5)
altruistic|نوع دوستانه(j;0.75)
always|هميشه(d;0.75),همواره(d;0.75),همه وقت(d;0.25)
ambassador|سفير(n;0.75),ايلچي(n;0.25),پيك(n;0.25),مامور رسمي يك دولت(n;0.25)
ambassadorial|وابستن به سفارت(j;0.5)
ambiguity|ابهام(n;0.75),سخن مشكوك(n;0.25),گنه معني(n;0.25),نا معلومي(n;0.25)
ambition|جاه طلبي(n;0.75),لندن همتي(n;0.5),ارزو(n;0.25),جاه طلب بودن(v;0.25)
amend|اصلاح كردن(v;0.5),به كردن(v;0.5),ترميم كردن(v;0.5),هبوديدن يافتن(v;0.5)
amendment|اصلاح(n;0.75),ترميم(n;0.25),تصحيح(n;0.25)
america|امريكا(n;0.75)
american|امريكا(n;0.75)
amiable|مهرب(j;0.75),دلپذير(j;0.75),شيرين(j;0.5)
amino|امينه(n;0.75)
amiss|كثيف(d;0.75),يموردن(d;0.75),عوضي(d;0.5),بد(j;0.75),نا درست(j;0.75),غلط(j;0.5),گمراه(j;0.5),منحرف(j;0.5),بي مورد(j;0.5)
amnesty|عفو عمومي(n;0.75),گذشت(n;0.5),عفو عمومي كردن(v;0.5)
among|مي(n;0.75),در ميان(n;0.75),از جمله(n;0.5),در زمره(n;0.5)
amongst|مي(n;0.75),در ميان(n;0.75),از جمله(n;0.5),در زمره(n;0.5)
amorphous|غير متبلور(j;0.75),بي شكل(j;0.75),بي نظم(j;0.75),غير شفاف(j;0.5),بدون تقسيم نديدن(j;0.5),دارا ساختم غير مشخص(j;0.5)
amount|مبلغ(n;0.75),مقدار(n;0.75),ميزان(n;0.75),مقدار ميزان(n;0.25),مايه(n;0.25),عده(n;0.25),بالغ شدن(v;0.25),رسيدن(v;0.25)
amply|بطور بيش از حد(d;0.75),بطور فراو(d;0.5)
amusement|سرگرمي(n;0.75),تفريح(n;0.75),لذت(n;0.5),گمراهي(n;0.5),گيجي(n;0.5),فريب خورده(n;0.5),پذيرا(n;0.5),نمايش(n;0.25)
an|(n;0.75)
anaesthetic|دارو بي هوشي(j;0.5),بيهوشانه(j;0.25),بي هوش كردن(j;0.25),كم كردن حس(j;0.25),حسگير(n;0.25)
analogue|انالوگ(n;0.75)
analyse|تجزيه و تحليل(n;0.75)
analysis|تحليل(n;0.75),تجزيه(n;0.5),جداگري(n;0.25),ازما(n;0.25),كاوش(n;0.25),فرگشا(n;0.25),استقرا(n;0.25),شي تجزيه شدن(n;0.25),كتاب يا موضوع تجزيه و تحليل شدن(n;0.25),مشتق و تابع اوليه(n;0.25),اناليز(n;0.25)
analytics|تجزيه و تحليل ترافيك(n;0.75),فرگشاشناسي(n;0.5),علم تجزيه و تحليل(n;0.5),هندسه تحليلي(n;0.5)
anarchical|هرج و مرج(j;0.75),مربوط به اشفته اوضاع(j;0.75),پرهرج ومرج(j;0.75)
anatomical|تشريحي(j;0.75),وابستن به كالبدشناسي(j;0.25)
